N,k,sr_train,sr_oos,sr_train_sd,panel
25,1,0.9324537108365394,-0.5427680495033397,0.2418201861003649,SYN0-00
25,2,1.0369053770662882,-0.5068955591245887,0.279799418864388,SYN0-00
25,3,1.1137830366019523,-0.5315149949000436,0.2833524247859051,SYN0-00
25,5,1.16080015294147,-0.3883985955815808,0.3100201170979049,SYN0-00
25,8,1.1318158316901017,-0.056599514915270925,0.32475750568029754,SYN0-00
25,12,1.0052656577827315,0.06332330187098625,0.3255112547251189,SYN0-00
25,20,0.5115021818083644,0.4341639875030663,0.3119064193582804,SYN0-00
50,1,1.0971984193402968,-0.5234276441008714,0.18376465226705727,SYN0-00
50,2,1.2353850541216445,-0.6616231958159413,0.23351310464126387,SYN0-00
50,3,1.2836290029798192,-0.7796109966947244,0.292550730609375,SYN0-00
50,5,1.4058375480578014,-0.8041399947882505,0.28212696489523154,SYN0-00
50,8,1.4917704468948239,-0.6596135380651532,0.2881998291751333,SYN0-00
50,12,1.5233715993508798,-0.32608365270874345,0.2726465576232974,SYN0-00
50,20,1.315381360815348,0.11490750294248758,0.29861935701489783,SYN0-00
100,1,1.2004522269803741,-0.6611017317015004,0.13995580624721282,SYN0-00
100,2,1.3853079906814605,-0.8117536777915269,0.2254320115288676,SYN0-00
100,3,1.438995244098157,-0.8998518589870028,0.29685114142970903,SYN0-00
100,5,1.5532759017696782,-1.0836335895967044,0.34464002357108364,SYN0-00
100,8,1.6729628798962222,-1.111198303033633,0.2917547682513097,SYN0-00
100,12,1.8653292628419342,-1.074283824667326,0.2592190599695238,SYN0-00
100,20,1.8552195218210088,-0.5432034982560774,0.25749185751998166,SYN0-00
200,1,1.2860165577415545,-0.9871816294534566,0.10104537822512302,SYN0-00
200,2,1.5177749283802087,-1.1403235789003878,0.18183083985329213,SYN0-00
200,3,1.610660833052574,-0.8663926468531536,0.288767717949415,SYN0-00
200,5,1.5384337777664243,-1.015439764283674,0.39858878242703716,SYN0-00
200,8,1.65641898424421,-1.2958693556742373,0.36920188115641456,SYN0-00
200,12,1.916037342979365,-1.387689275239665,0.29069919097466473,SYN0-00
200,20,2.1335966585800095,-1.268270417170226,0.23227283938483223,SYN0-00
400,1,1.3560549047899828,-1.2224445320862467,0.036403809840806656,SYN0-00
400,2,1.6117628670113797,-1.628122050091262,0.14201666561481083,SYN0-00
400,3,1.8471098729056867,-1.9258527006623734,0.11145771956298073,SYN0-00
400,5,2.0947183536163667,-1.1891338373180582,0.24987532990654562,SYN0-00
400,8,1.7146279819151373,-0.8907417233530546,0.4736131512951335,SYN0-00
400,12,1.653369863189878,-1.2236046499834428,0.27275531087236166,SYN0-00
400,20,2.231580632470393,-1.779364217126368,0.1991421321470508,SYN0-00
25,1,0.9090478156589563,-0.36358458703375246,0.2632595591265558,SYN0-01
25,2,1.0591808856677432,-0.5016258188538945,0.2538615830482264,SYN0-01
25,3,1.1597235016649126,-0.5813533935683018,0.32254819672820767,SYN0-01
25,5,1.1272586432429343,-0.6286860031960083,0.3719113026378687,SYN0-01
25,8,1.032549082716566,-0.3374905329894323,0.35137871454345665,SYN0-01
25,12,0.8695173720000046,-0.00042517205525661404,0.3683775142864714,SYN0-01
25,20,0.22022954470675912,0.7298176251020823,0.41379838810217434,SYN0-01
50,1,1.0528403445950196,-0.32348128592257164,0.28497236090453826,SYN0-01
50,2,1.2420623116873835,-0.40873934303496917,0.1970675693280883,SYN0-01
50,3,1.4215251880999664,-0.5860187763400616,0.24993192386601018,SYN0-01
50,5,1.4924179392684847,-0.847937980734314,0.31249133779790034,SYN0-01
50,8,1.544522698965353,-0.9725756225763555,0.339008114222133,SYN0-01
50,12,1.4411626634082515,-0.8815857830431016,0.3559906164588688,SYN0-01
50,20,1.176243879267102,-0.2037073143335748,0.31629340411195067,SYN0-01
100,1,1.2219773600528696,-0.38798816470095815,0.3334526774285954,SYN0-01
100,2,1.3517186902021918,-0.46715829552364285,0.16988912736465248,SYN0-01
100,3,1.5443194062546555,-0.49235890729618875,0.21008196956363576,SYN0-01
100,5,1.752734518379628,-0.6490994955703964,0.23502167566054136,SYN0-01
100,8,1.8865819834019368,-1.0946922148151867,0.28012243268990833,SYN0-01
100,12,1.9509868387532958,-1.212263213856692,0.29453712353117417,SYN0-01
