run,arm,panel,setting,ckpt,rule,sr_is,sr_oos,decay,n_logged,legs,cplx,turnover
AG-REAL-01,AGENT,REAL,REAL,A,argmax,3.4241052142142507,0.213029680575842,3.2110755336384087,300,3.0,17.666666666666668,0.19756202334449405
AG-REAL-01,AGENT,REAL,REAL,A,chosen,3.2712374445763825,0.3091130806729073,2.962124363903475,300,2.6666666666666665,16.333333333333332,
AG-REAL-02,AGENT,REAL,REAL,A,argmax,3.1208218050207472,1.4328408120700478,1.6879809929506995,300,1.0,9.0,0.23066170446766598
AG-REAL-02,AGENT,REAL,REAL,A,chosen,3.0876781916897156,1.417180480019464,1.6704977116702515,300,1.0,11.333333333333334,
AG-REAL-03,AGENT,REAL,REAL,A,argmax,3.029757191098962,0.8149934628747656,2.2147637282241965,260,1.0,11.666666666666666,0.2711776119817502
AG-REAL-03,AGENT,REAL,REAL,A,chosen,3.019673024471442,0.7955319739049788,2.224141050566463,260,1.0,11.666666666666666,
AG-REAL-04,AGENT,REAL,REAL,A,argmax,2.4150859342358157,0.3753509096152284,2.039735024620587,250,4.333333333333333,28.333333333333332,0.36492033135954033
AG-REAL-04,AGENT,REAL,REAL,A,chosen,2.4030638277735843,0.3539481998013105,2.0491156279722738,250,5.666666666666667,38.0,
AG-REAL-05,AGENT,REAL,REAL,A,argmax,3.3080365507988874,0.619567030672467,2.6884695201264206,261,2.0,13.666666666666666,0.17650450206938242
AG-REAL-05,AGENT,REAL,REAL,A,chosen,3.2621228466774035,0.7073040656968994,2.5548187809805043,261,2.3333333333333335,15.333333333333334,
AG-REAL-06,AGENT,REAL,REAL,A,argmax,3.29670795184941,0.8541151244413806,2.4425928274080295,300,2.0,13.0,0.1883990236312624
AG-REAL-06,AGENT,REAL,REAL,A,chosen,3.2979574185603084,0.8272098121947048,2.4707476063656038,300,2.3333333333333335,15.0,
AG-SYN0-00,AGENT,SYN0-00,SYN0,A,argmax,2.4989474180739877,-3.022153048385352,5.521100466459339,126,5.333333333333333,14.666666666666666,0.40484844999999997
