run,arm,panel,legs,cplx,best_is,setting
AG-REAL-01,AGENT,REAL,3.0,17.666666666666668,2.9684,REAL
AG-REAL-02,AGENT,REAL,1.0,9.0,2.9298,REAL
AG-REAL-03,AGENT,REAL,1.0,11.666666666666666,2.7208,REAL
AG-REAL-04,AGENT,REAL,4.333333333333333,28.333333333333332,2.2419,REAL
AG-REAL-05,AGENT,REAL,2.0,13.666666666666666,3.055,REAL
AG-REAL-06,AGENT,REAL,2.0,13.0,3.1026,REAL
AG-SYN0-00,AGENT,SYN0-00,5.333333333333333,14.666666666666666,2.1569,SYN0
AG-SYN0-01,AGENT,SYN0-01,3.0,10.666666666666666,1.8656,SYN0
AG-SYN0-02,AGENT,SYN0-02,4.333333333333333,12.666666666666666,1.3503,SYN0
AG-SYN0-03,AGENT,SYN0-03,5.666666666666667,30.333333333333332,2.0693,SYN0
AG-SYN0-04,AGENT,SYN0-04,3.6666666666666665,12.666666666666666,1.6957,SYN0
AG-SYN0-05,AGENT,SYN0-05,7.0,33.0,2.0236,SYN0
AG-SYN0-06,AGENT,SYN0-06,3.3333333333333335,11.333333333333334,1.5318,SYN0
AG-SYN0-07,AGENT,SYN0-07,4.333333333333333,24.333333333333332,1.8715,SYN0
AG-SYN0-08,AGENT,SYN0-08,4.0,14.666666666666666,1.6313,SYN0
AG-SYN0-09,AGENT,SYN0-09,1.3333333333333333,9.0,1.9511,SYN0
AG-SYN0-10,AGENT,SYN0-10,2.0,12.333333333333334,2.0768,SYN0
AG-SYN0-11,AGENT,SYN0-11,5.666666666666667,19.666666666666668,1.9607,SYN0
AG-SYNA05-00,AGENT,SYNA05-00,8.666666666666666,33.666666666666664,2.2253,SYNA05
AG-SYNA05-01,AGENT,SYNA05-01,13.333333333333334,46.0,2.7286,SYNA05
AG-SYNA05-02,AGENT,SYNA05-02,5.666666666666667,27.0,2.6071,SYNA05
AG-SYNA05-03,AGENT,SYNA05-03,5.0,18.666666666666668,2.0571,SYNA05
