run,arm,panel,n_logged,n_batches,best_is_sr,chosen_best_sr,n_star,n_star_chosen,null_p95,mean_complexity
AG-REAL-01,AGENT,REAL,300,12,2.9684,2.9684,10000000.0,10000000.0,0.8956249999999998,6.13
AG-REAL-02,AGENT,REAL,300,12,2.9298,2.8897,10000000.0,10000000.0,0.8956249999999998,5.793333333333333
AG-REAL-03,AGENT,REAL,260,12,2.7208,2.7194,10000000.0,10000000.0,0.8956249999999998,6.3961538461538465
AG-REAL-04,AGENT,REAL,250,11,2.2419,2.2419,10000000.0,10000000.0,0.8956249999999998,11.496
AG-REAL-05,AGENT,REAL,261,12,3.055,3.055,10000000.0,10000000.0,0.8956249999999998,7.478927203065134
AG-REAL-06,AGENT,REAL,300,12,3.1026,3.0738,10000000.0,10000000.0,0.8956249999999998,6.663333333333333
AG-SYN0-00,AGENT,SYN0-00,126,6,2.1569,2.147,10000000.0,10000000.0,0.6702449999999993,4.5396825396825395
AG-SYN0-01,AGENT,SYN0-01,159,7,1.8656,1.8656,10000000.0,10000000.0,0.7593349999999999,6.79874213836478
AG-SYN0-02,AGENT,SYN0-02,145,6,1.3503,1.3503,3482.5447049944705,3482.5447049944705,0.7145449999999998,6.4
AG-SYN0-03,AGENT,SYN0-03,164,7,2.0693,2.0693,10000000.0,10000000.0,0.7193050000000001,9.957317073170731
AG-SYN0-04,AGENT,SYN0-04,139,6,1.6957,1.678,10000000.0,10000000.0,0.756,6.0
AG-SYN0-05,AGENT,SYN0-05,198,9,2.0236,2.0236,10000000.0,10000000.0,0.682345,10.454545454545455
AG-SYN0-06,AGENT,SYN0-06,128,6,1.5318,1.5318,10000000.0,10000000.0,0.7259399999999999,5.8515625
AG-SYN0-07,AGENT,SYN0-07,121,6,1.8715,1.8715,10000000.0,10000000.0,0.7702,6.570247933884297
AG-SYN0-08,AGENT,SYN0-08,147,7,1.6313,1.3461,10000000.0,1691.8803963951466,0.7060599999999995,5.598639455782313
AG-SYN0-09,AGENT,SYN0-09,137,6,1.9511,1.9511,2217.2687056992886,2217.2687056992886,0.7956699999999999,4.744525547445256
AG-SYN0-10,AGENT,SYN0-10,203,9,2.0768,2.0768,10000000.0,10000000.0,0.625095,8.049261083743842
AG-SYN0-11,AGENT,SYN0-11,182,8,1.9607,1.9607,10000000.0,10000000.0,0.6804,6.824175824175824
AG-SYNA05-00,AGENT,SYNA05-00,297,12,2.2253,2.2253,10000000.0,10000000.0,0.8310999999999993,13.245791245791246
AG-SYNA05-01,AGENT,SYNA05-01,275,11,2.7286,2.6901,10000000.0,10000000.0,1.1824,19.30909090909091
AG-SYNA05-02,AGENT,SYNA05-02,250,11,2.6071,2.6071,10000000.0,10000000.0,0.7697949999999993,10.996
AG-SYNA05-03,AGENT,SYNA05-03,300,12,2.0571,2.0571,10000000.0,10000000.0,0.898855,11.046666666666667
AG-SYNA10-00,AGENT,SYNA10-00,300,12,3.0046,2.9756,10000000.0,10000000.0,1.24643,7.13
AG-SYNA10-01,AGENT,SYNA10-01,299,12,2.1803,2.1803,10000000.0,10000000.0,0.8005,11.923076923076923
AG-SYNA10-02,AGENT,SYNA10-02,295,12,3.462,3.462,10000000.0,10000000.0,1.2053499999999995,10.833898305084746
AG-SYNA10-03,AGENT,SYNA10-03,299,12,2.8166,2.8166,10000000.0,10000000.0,0.8508,14.989966555183946
