run,arm,panel,setting,rule,sr_is,sr_oos,decay
AG-SYN0-00,AGENT,SYN0-00,SYN0,chosen,2.1473034107324236,-2.9982557387437683,5.145559149476192
AG-SYN0-00,AGENT,SYN0-00,SYN0,argmax,2.1549018465475624,-3.022154923920583,5.177056770468146
AG-SYN0-01,AGENT,SYN0-01,SYN0,chosen,1.9724019710430882,-0.8944572640118033,2.8668592350548914
AG-SYN0-01,AGENT,SYN0-01,SYN0,argmax,1.992818609104634,-0.7634136167293799,2.756232225834014
AG-SYN0-02,AGENT,SYN0-02,SYN0,chosen,1.3515774539248913,-0.8166335453667264,2.1682109992916176
AG-SYN0-02,AGENT,SYN0-02,SYN0,argmax,1.3640628716954928,-0.8305950727115736,2.1946579444070666
AG-SYN0-03,AGENT,SYN0-03,SYN0,chosen,2.103718153911932,-0.5470761437456138,2.6507942976575456
AG-SYN0-03,AGENT,SYN0-03,SYN0,argmax,2.085112310425525,-0.49304013123436297,2.578152441659888
AG-SYN0-04,AGENT,SYN0-04,SYN0,chosen,1.7011265332100156,0.9687121616135534,0.7324143715964622
AG-SYN0-04,AGENT,SYN0-04,SYN0,argmax,1.7110312964093322,0.955843709879387,0.7551875865299451
AG-SYN0-05,AGENT,SYN0-05,SYN0,chosen,2.01006144386335,1.989006805976629,0.021054637886720906
AG-SYN0-05,AGENT,SYN0-05,SYN0,argmax,2.0446866245439153,1.931656026045472,0.11303059849844321
AG-SYN0-06,AGENT,SYN0-06,SYN0,chosen,1.535374067834106,2.0528970046812054,-0.5175229368470995
AG-SYN0-06,AGENT,SYN0-06,SYN0,argmax,1.541777957107504,2.0977702844675052,-0.5559923273600011
AG-SYN0-07,AGENT,SYN0-07,SYN0,chosen,1.8609739746038207,-0.8379520589273212,2.698926033531142
AG-SYN0-07,AGENT,SYN0-07,SYN0,argmax,1.8609739746038207,-0.8379520589273212,2.698926033531142
AG-SYN0-08,AGENT,SYN0-08,SYN0,chosen,1.3685679336796133,2.1632952322226533,-0.79472729854304
AG-SYN0-08,AGENT,SYN0-08,SYN0,argmax,1.6473438588461757,1.7843928465628573,-0.13704898771668161
AG-SYN0-09,AGENT,SYN0-09,SYN0,chosen,1.931407153019322,1.2902725308584462,0.6411346221608758
AG-SYN0-09,AGENT,SYN0-09,SYN0,argmax,1.9400467099682206,1.290536080706554,0.6495106292616666
AG-SYN0-10,AGENT,SYN0-10,SYN0,chosen,2.0960472332047053,0.3147874193417005,1.781259813863005
AG-SYN0-10,AGENT,SYN0-10,SYN0,argmax,2.0960472332047053,0.3147874193417005,1.781259813863005
AG-SYN0-11,AGENT,SYN0-11,SYN0,chosen,1.9592119284995562,-0.20789881650203212,2.1671107450015885
AG-SYN0-11,AGENT,SYN0-11,SYN0,argmax,1.9669440127404438,-0.24253549748044745,2.2094795102208913
